POP,RHIZ,SAMP,ID,LEN
CLA,7,A,CLA_7_A,13
CLA,7,B,CLA_7_B,20
CLA,7,C,CLA_7_C,15
CLA,7,D,CLA_7_D,12
CLA,7,E,CLA_7_E,18
CLA,7,F,CLA_7_F,13
CLA,7,G,CLA_7_G,13
CLA,7,H,CLA_7_H,5
CLA,7,I,CLA_7_I,20
CLA,7,J,CLA_7_J,15
CLA,7,K,CLA_7_K,11
CLA,7,L,CLA_7_L,10
LES,5,A,LES_5_A,14
LES,5,B,LES_5_B,20
LES,5,C,LES_5_C,22
LES,5,D,LES_5_D,22
LES,5,E,LES_5_E,15
LES,5,F,LES_5_F,25
LES,5,G,LES_5_G,25
LES,5,H,LES_5_H,24
LES,5,I,LES_5_I,28
OLM,7,A,OLM_7_A,13
OLM,7,B,OLM_7_B,19
OLM,7,C,OLM_7_C,17
OLM,7,D,OLM_7_D,13
OLM,7,E,OLM_7_E,10
OLM,7,F,OLM_7_F,14
CAR,1,A,CAR_1_A,7
CAR,1,B,CAR_1_B,18
CAR,1,C,CAR_1_C,20
CAR,1,D,CAR_1_D,15
CAR,1,E,CAR_1_E,21
CAR,1,F,CAR_1_F,17
CAR,1,G,CAR_1_G,16
CAR,1,H,CAR_1_H,13
CAR,1,I,CAR_1_I,6
CAR,1,J,CAR_1_J,12
CAR,1,K,CAR_1_K,3
ROS,12,A,ROS_12_A,12
ROS,12,B,ROS_12_B,14
ROS,12,C,ROS_12_C,12
ROS,12,D,ROS_12_D,7
ROS,12,E,ROS_12_E,12
ROS,12,F,ROS_12_F,9
ANO,1,A,ANO_1_A,16
ANO,1,B,ANO_1_B,26
ANO,1,C,ANO_1_C,21
ANO,1,D,ANO_1_D,4
MAR,2,A,MAR_2_A,24
MAR,2,B,MAR_2_B,16
MAR,2,C,MAR_2_C,21
MAR,2,D,MAR_2_D,20
MAR,2,E,MAR_2_E,20
MAR,2,F,MAR_2_F,18
MAR,2,G,MAR_2_G,6
MAR,2,H,MAR_2_H,6
MAR,2,I,MAR_2_I,26
MAR,2,J,MAR_2_J,29
MAR,2,K,MAR_2_K,27
MAR,2,L,MAR_2_L,17
MAR,2,M,MAR_2_M,15
MAR,2,N,MAR_2_N,12
